review_id,order_id,review_score,review_comment
R000001,O000001,2,"পণ্যের মান আশানুরূপ নয়।"
R000002,O000002,3,"মোটামুটি পণ্য।"
R000003,O000004,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000004,O000005,4,"Good quality overall."
R000005,O000007,5,"Excellent product! Very happy with the purchase."
R000006,O000008,1,"খুবই খারাপ অভিজ্ঞতা।"
R000007,O000010,2,"Not satisfied with the quality."
R000008,O000011,3,"Average quality, expected better."
R000009,O000013,4,"Satisfied with the product."
R000010,O000014,5,"দ্রুত ডেলিভারি মান ভালো।"
R000011,O000015,5,"Excellent product, very happy with the purchase."
R000012,O000017,1,"Very disappointed."
R000013,O000018,3,"কোনো বিশেষ মন্তব্য নেই।"
R000014,O000020,3,"Product is okay."
R000015,O000021,4,"Decent product for the price."
R000016,O000023,5,"Highly recommend to everyone."
R000017,O000024,5,"প্যাকেজিং চমৎকার ছিল।"
R000018,O000026,1,"পণ্য ক্ষতিগ্রস্ত অবস্থায় পৌঁছেছে।"
R000019,O000027,3,"মোটামুটি পণ্য।"
R000020,O000028,4,"ডেলিভারি সময়মতো হয়েছে।"
R000021,O000030,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000022,O000031,5,"Excellent product! Very happy with the purchase."
R000023,O000033,5,"দ্রুত ডেলিভারি মান ভালো।"
R000024,O000034,1,"খুবই খারাপ অভিজ্ঞতা।"
R000025,O000036,3,"Average quality, expected better."
R000026,O000037,4,"Good quality overall."
R000027,O000039,4,"Satisfied with the product."
R000028,O000040,5,"Excellent product, very happy with the purchase."
R000029,O000042,5,"Highly recommend to everyone."
R000030,O000043,2,"ডেলিভারি দেরিতে হয়েছে।"
R000031,O000044,3,"কোনো বিশেষ মন্তব্য নেই।"
R000032,O000046,4,"Decent product for the price."
R000033,O000047,4,"ডেলিভারি সময়মতো হয়েছে।"
R000034,O000049,5,"প্যাকেজিং চমৎকার ছিল।"
R000035,O000050,5,"Excellent product! Very happy with the purchase."
R000036,O000052,2,"পণ্যের মান আশানুরূপ নয়।"
R000037,O000053,3,"Product is okay."
R000038,O000055,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000039,O000056,4,"Good quality overall."
R000040,O000057,5,"দ্রুত ডেলিভারি মান ভালো।"
R000041,O000059,5,"Excellent product, very happy with the purchase."
R000042,O000060,2,"Not satisfied with the quality."
R000043,O000062,3,"মোটামুটি পণ্য।"
R000044,O000063,4,"Satisfied with the product."
R000045,O000065,4,"Decent product for the price."
R000046,O000066,5,"Highly recommend to everyone."
R000047,O000068,5,"প্যাকেজিং চমৎকার ছিল।"
R000048,O000069,2,"ডেলিভারি দেরিতে হয়েছে।"
R000049,O000071,3,"Average quality, expected better."
R000050,O000072,4,"ডেলিভারি সময়মতো হয়েছে।"
R000051,O000073,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000052,O000075,5,"Excellent product! Very happy with the purchase."
R000053,O000076,1,"Very disappointed."
R000054,O000078,2,"পণ্যের মান আশানুরূপ নয়।"
R000055,O000079,3,"কোনো বিশেষ মন্তব্য নেই।"
R000056,O000081,4,"Good quality overall."
R000057,O000082,4,"Satisfied with the product."
R000058,O000084,5,"দ্রুত ডেলিভারি মান ভালো।"
R000059,O000085,1,"পণ্য ক্ষতিগ্রস্ত অবস্থায় পৌঁছেছে।"
R000060,O000086,3,"Product is okay."
R000061,O000088,3,"মোটামুটি পণ্য।"
R000062,O000089,4,"Decent product for the price."
R000063,O000091,5,"Excellent product, very happy with the purchase."
R000064,O000092,5,"Highly recommend to everyone."
R000065,O000094,1,"খুবই খারাপ অভিজ্ঞতা।"
R000066,O000095,3,"Average quality, expected better."
R000067,O000097,3,"কোনো বিশেষ মন্তব্য নেই।"
R000068,O000098,4,"ডেলিভারি সময়মতো হয়েছে।"
R000069,O000100,5,"প্যাকেজিং চমৎকার ছিল।"
R000070,O000101,5,"Excellent product! Very happy with the purchase."
R000071,O000102,1,"Very disappointed."
R000072,O000104,3,"Product is okay."
R000073,O000105,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000074,O000107,4,"Good quality overall."
R000075,O000108,5,"দ্রুত ডেলিভারি মান ভালো।"
R000076,O000110,5,"Excellent product, very happy with the purchase."
R000077,O000111,1,"পণ্য ক্ষতিগ্রস্ত অবস্থায় পৌঁছেছে।"
R000078,O000113,3,"মোটামুটি পণ্য।"
R000079,O000114,4,"Satisfied with the product."
R000080,O000115,4,"Decent product for the price."
